datetime,city,state,country,country_label,shape,shape_cleaned,duration (seconds),duration_min,log_duration,latitude,longitude,year,month,hour,day_of_week,day_name,decade,season,is_weekend,time_of_day,comments
2002-01-15 07:55:00,st. petersburg,fl,us,United States,oval,oval,600.0,10.0,6.398594934535208,27.7705556,-82.6794444,2002,1,7,1,Tuesday,2000,Winter,0,Morning (6–12),St. petersburg fl. Could not belive my eyes for the first time I saw UFO
2002-11-05 13:30:00,london (uk/england),unknown,gb,United Kingdom,cross,other,120.0,2.0,4.795790545596741,51.514125,-0.093689,2002,11,13,1,Tuesday,2000,Autumn,0,Afternoon (12–18),It was a scary shape going faster than anything I had ever seen in my life
2002-01-15 17:30:00,jamestown (adam&#39s farm) dist.,nc,unknown,Unknown,oval,oval,1200.0,20.0,7.0909098220799835,35.759573,-79.0193,2002,1,17,1,Tuesday,2000,Winter,0,Afternoon (12–18),Oval objects hovering over Jamestown&#44 NC. Military jets flying over-head a short while later.
2002-11-05 18:47:00,temecula,ca,us,United States,light,light,300.0,5.0,5.707110264748875,33.4936111,-117.1475,2002,11,18,1,Tuesday,2000,Autumn,0,Evening (18–24),Bright lights over Pala Rd in Temecula
2002-01-15 19:00:00,lake wales,fl,us,United States,cylinder,other,180.0,3.0,5.198497031265826,27.9011111,-81.5861111,2002,1,19,1,Tuesday,2000,Winter,0,Evening (18–24),Never seen this before
2002-01-15 19:00:00,lake wales,fl,us,United States,triangle,triangle,180.0,3.0,5.198497031265826,27.9011111,-81.5861111,2002,1,19,1,Tuesday,2000,Winter,0,Evening (18–24),In the Florida sky 1/15/2001
2002-11-05 19:00:00,multan (pakistan),unknown,unknown,Unknown,cone,other,2400.0,40.0,7.783640596221253,30.198381,71.468703,2002,11,19,1,Tuesday,2000,Autumn,0,Evening (18–24),i am an airforce pilot.we were conducting night flying around 1900 pakistan standard time .we were operating in circuit (a flying patte
2002-01-15 19:30:00,lake buena vista,fl,us,United States,light,light,120.0,2.0,4.795790545596741,28.3933333,-81.5388889,2002,1,19,1,Tuesday,2000,Winter,0,Evening (18–24),Golden comet-like tail grows from orange light which changes into 3 colored lights that form a moving triangle.
2002-01-15 19:30:00,miami,fl,us,United States,formation,formation,300.0,5.0,5.707110264748875,25.7738889,-80.1938889,2002,1,19,1,Tuesday,2000,Winter,0,Evening (18–24),Low flying UFO sighted in the Kendall Florida Area
2002-01-15 19:35:00,sarasota,fl,us,United States,triangle,triangle,360.0,6.0,5.8888779583328805,27.3361111,-82.5308333,2002,1,19,1,Tuesday,2000,Winter,0,Evening (18–24),Triangle shape with light at each point.
2002-01-15 19:40:00,port charlotte,fl,us,United States,formation,formation,300.0,5.0,5.707110264748875,26.9758333,-82.0908333,2002,1,19,1,Tuesday,2000,Winter,0,Evening (18–24),1/16/2001  Formation of 3 objects in souther sky over Florida.  Light beams&#44 light bursts and seperation and departure.
2002-11-05 19:50:00,sammamish,wa,us,United States,light,light,60.15,1.0025,4.113329862133181,47.6419444,-122.0791667,2002,11,19,1,Tuesday,2000,Autumn,0,Evening (18–24),The object was bright red.
2002-11-05 20:35:00,moundridge,ks,us,United States,light,light,1140.0,19.0,7.039660349862076,38.2030556,-97.5188889,2002,11,20,1,Tuesday,2000,Autumn,0,Evening (18–24),Two to Four bright yellow flame like lights side by side in the night sky.
2002-01-15 20:48:00,hayward,ca,us,United States,light,light,300.0,5.0,5.707110264748875,37.6688889,-122.0797222,2002,1,20,1,Tuesday,2000,Winter,0,Evening (18–24),Large bright red light hovers and shoots off before dropping smaller red/orange lights&#44 one drops then moves at a right angle.
2002-01-15 21:00:00,jackson,nj,us,United States,fireball,fireball,5.0,0.08333333333333333,1.791759469228055,39.7763889,-74.8627778,2002,1,21,1,Tuesday,2000,Winter,0,Evening (18–24),Bright white/green light flying silently across horizon
2002-01-15 23:00:00,chillicothe,oh,us,United States,unknown,unknown,5.0,0.08333333333333333,1.791759469228055,39.3330556,-82.9825,2002,1,23,1,Tuesday,2000,Winter,0,Evening (18–24),lights was dashing around in the sky very fast
2003-01-15 00:15:00,burbank,ca,us,United States,light,light,900.0,15.0,6.803505257608338,34.1808333,-118.3080556,2003,1,0,2,Wednesday,2000,Winter,0,Night (0–6),yellowish/orange lights over Burbank / N. Hollywood Area.  4th sighting &#33
2003-01-15 01:00:00,millville,nj,us,United States,circle,circle,40.0,0.6666666666666666,3.713572066704308,39.4019444,-75.0397222,2003,1,1,2,Wednesday,2000,Winter,0,Night (0–6),well&#44 it was about 1am&#44i waslooking southeast&#44when i seen a bright light in the sky.i dont think we have planes that can go as fast&#44?i
2003-01-15 01:15:00,grand junction,co,us,United States,light,light,3600.0,60.0,8.188966863648876,39.0638889,-108.55,2003,1,1,2,Wednesday,2000,Winter,0,Night (0–6),A friend and I were out in the desert foothills near the Bookcliffs.Around 1:15am we noticed a light on top of the Bookcliffs.T
2003-01-15 02:00:00,taos,nm,us,United States,unknown,unknown,1800.0,30.0,7.496097345175956,36.4072222,-105.5725,2003,1,2,2,Wednesday,2000,Winter,0,Night (0–6),it was about 2:00 am. and i could not sleep so i went outside to the porch for some air. i was looking up at the sky when i noticed two
2003-01-15 03:00:00,simi valley,ca,us,United States,circle,circle,259200.0,4320.0,12.465359101477507,34.2694444,-118.7805556,2003,1,3,2,Wednesday,2000,Winter,0,Night (0–6),Small red globes going to and from a satellite to the earth. Satellite has since has disappeared.
2003-01-15 05:15:00,lewisville,tx,us,United States,fireball,fireball,3.0,0.05,1.3862943611198906,33.0461111,-96.9938889,2003,1,5,2,Wednesday,2000,Winter,0,Night (0–6),2 fast moving bright green spheres descending straight down on the horizon with green trails behind them.
2003-01-15 07:20:00,north judson/knox,in,unknown,Unknown,light,light,600.0,10.0,6.398594934535208,41.184171,-86.604934,2003,1,7,2,Wednesday,2000,Winter,0,Morning (6–12),Two lights in sky  quickly changed positions and took off slowly in opposite directions.
2003-01-15 07:30:00,washington,pa,us,United States,light,light,300.0,5.0,5.707110264748875,40.1738889,-80.2463889,2003,1,7,2,Wednesday,2000,Winter,0,Morning (6–12),I live beside an airport and I seen airplanes before and this was no airplane it was a ball of light.
2003-11-05 08:30:00,horn lake,ms,us,United States,fireball,fireball,5.0,0.08333333333333333,1.791759469228055,34.9552778,-90.0347222,2003,11,8,2,Wednesday,2000,Autumn,0,Morning (6–12),Totally unexpected&#44 brilliant and very possibly a slightly curved course.
2003-01-15 10:30:00,jackson,nj,us,United States,disk,disk,5.0,0.08333333333333333,1.791759469228055,39.7763889,-74.8627778,2003,1,10,2,Wednesday,2000,Winter,0,Morning (6–12),I WAS TAKEN ONTO A DISK LIKE SHIP AND EXAMINED.
2003-11-05 11:00:00,portland,or,us,United States,circle,circle,300.0,5.0,5.707110264748875,45.5236111,-122.675,2003,11,11,2,Wednesday,2000,Autumn,0,Morning (6–12),Dear PD&#44 On 11/5/03&#44 my wife described a sighting to me that sounds very similar to one reported by a witness in your database for Port
2003-11-05 11:30:00,esperance (australia),unknown,au,Australia,teardrop,other,20.0,0.3333333333333333,3.044522437723423,-33.86013,121.882591,2003,11,11,2,Wednesday,2000,Autumn,0,Morning (6–12),White spot&#44 moving in one direction and at a slow pace.   No defining shape&#44 just a spot.
2003-11-05 12:20:00,burlington,vt,us,United States,disk,disk,60.0,1.0,4.110873864173311,44.4758333,-73.2125,2003,11,12,2,Wednesday,2000,Autumn,0,Afternoon (12–18),On Nov.5th&#442003 at 12:20 P.M. our 12-year old son was home early from having only one half a day of school&#44 I was home early from work
2003-01-15 14:00:00,sterling heights,mi,us,United States,egg,other,10.0,0.16666666666666666,2.3978952727983707,42.5802778,-83.0302778,2003,1,14,2,Wednesday,2000,Winter,0,Afternoon (12–18),Sometime in early 2003&#44 during the winter&#44 I had been living in an apartment on the 2nd floor of an apartment complex in Sterling Heigh
2003-11-05 17:00:00,pass christian,ms,us,United States,disk,disk,1800.0,30.0,7.496097345175956,30.3155556,-89.2475,2003,11,17,2,Wednesday,2000,Autumn,0,Afternoon (12–18),IT WAS ROUND AND FLAT LARGER THEN A HOUSE WITH RED LIGHTS ON THE SIDE AND WHITE LIGHTS UNDERNEATH.
2003-11-05 18:45:00,huddersfield (uk/england),unknown,gb,United Kingdom,triangle,triangle,120.0,2.0,4.795790545596741,53.65,-1.783333,2003,11,18,2,Wednesday,2000,Autumn,0,Evening (18–24),IT WAS A SILVER TRIANGLE AND RED LIGHTS ON ALL SIDE&#39S IT MADE ME RUN IN SIED MY HOME DID NOT UDERSTAND IT
2003-11-05 19:00:00,alexandria,va,us,United States,unknown,unknown,2.0,0.03333333333333333,1.0986122886681098,38.8047222,-77.0472222,2003,11,19,2,Wednesday,2000,Autumn,0,Evening (18–24),6-8  Bright lights&#44 in a line. Moving slowly north. Over or near Old Town Alexandria/Potomac River.
2003-01-15 19:00:00,howe island (canada),on,unknown,Unknown,triangle,triangle,180.0,3.0,5.198497031265826,44.258866,-76.313577,2003,1,19,2,Wednesday,2000,Winter,0,Evening (18–24),Low flying triangle - Howe Island- January 2003
2003-01-15 19:00:00,reedsburg,wi,us,United States,fireball,fireball,30.0,0.5,3.4339872044851463,43.5325,-90.0025,2003,1,19,2,Wednesday,2000,Winter,0,Evening (18–24),I saw 6 bright orange fireballs appear slowly then dissappear over Wisconsin Dells.
2003-01-15 19:30:00,napa,ca,us,United States,chevron,other,6.0,0.1,1.9459101490553132,38.2972222,-122.2844444,2003,1,19,2,Wednesday,2000,Winter,0,Evening (18–24),Dark chevron shape zooming across the night sky with no lights on it.
